"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","238485","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","240253","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","243704","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","246887","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","252423","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","258899","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","264525","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","267622","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","278590","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","286006","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","285611","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","308824","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","313268","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","338217","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","327546","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","326779","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","42","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","9","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","8","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","11","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","10","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","12","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","10","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","7","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","6","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","9","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","11","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","12","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","17","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","11","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","43","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","47","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","43","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","47","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","44","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","2","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","1","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","1","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","0","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","2","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Number of deaths","Number","223","units","0","v41341044","1.1.1.2.2","2","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","35","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","34","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","33","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","33","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","33","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","33","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","32","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","33","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","33","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","34","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","34","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","34","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","34","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","33","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","34","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Rank of leading causes of death","Number","223","units","0","v41341045","1.1.1.3.1","34","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","62","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","67","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","76","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","69","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","82","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","81","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","107","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","89","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","90","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","84","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","71","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","99","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","111","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","123","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","101","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Tuberculosis [A16-A19]","Number of deaths","Number","223","units","0","v41341046","1.1.1.3.2","103","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","45","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","45","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","43","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","43","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","43","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","43","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","45","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","46","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","43","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","43","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","43","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","45","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","47","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","47","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","47","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Rank of leading causes of death","Number","223","units","0","v41341047","1.1.1.4.1","42","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","1","","","","0"
